Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def goToPrevMarkedHeadline(self, event=None): """"""Select the next marked node."""""" c = self p = c.p if not p: return p.moveToThreadBack() wrapped = False while 1: if p and p.isMarked(): break elif p: p.moveToThreadBack() elif wrapped: break else: wrapped = True p = c.rootPosition() if not p: g.blue(""done"") c.treeSelectHelper(p) # Sets focus.",false,if p and p . isMarked ( ) :,p.focus()p.focus()p.focus()p.focus()p.focus()p.focus(),55.56,3.71
"def sample(self, **config): """"""Sample a configuration from this search space."""""" ret = {} ret.update(self.data) kwspaces = self.kwspaces kwspaces.update(config) striped_keys = [k.split(SPLITTER)[0] for k in config.keys()] for k, v in kwspaces.items(): if k in striped_keys: if isinstance(v, NestedSpace): sub_config = _strip_config_space(config, prefix=k) ret[k] = v.sample(**sub_config) else: ret[k] = v return ret",false,if k in striped_keys :,=k in striped_keys:= k.split(SPLITTER)[0]= k.split(SPLITTER)[,80.0,18.56
"def update_gradients_full(self, dL_dK, X, X2=None): if self.ARD: phi1 = self.phi(X) if X2 is None or X is X2: self.variance.gradient = np.einsum(""ij,iq,jq->q"", dL_dK, phi1, phi1) else: phi2 = self.phi(X2) self.variance.gradient = np.einsum(""ij,iq,jq->q"", dL_dK, phi1, phi2) else: self.variance.gradient = np.einsum(""ij,ij"", dL_dK, self._K(X, X2)) * self.beta",false,if X2 is None or X is X2 :,"=self.variance.gradient = np.einsum(""ij,iq,jq->q"", dL_dK,phi1",0.0,0.0
"def post(self): host_json = json.loads(request.data) host_os = host_json.get(""os"") if host_os: result = get_monkey_executable(host_os.get(""type""), host_os.get(""machine"")) if result: # change resulting from new base path executable_filename = result[""filename""] real_path = MonkeyDownload.get_executable_full_path(executable_filename) if os.path.isfile(real_path): result[""size""] = os.path.getsize(real_path) return result return {}",false,if os . path . isfile ( real_path ) :,===== os.path.abspath(real_path)= os.path.abspath(,70.0,27.09
"def _encode_data( self, data, content_type, ): if content_type is MULTIPART_CONTENT: return encode_multipart(BOUNDARY, data) else: # Encode the content so that the byte representation is correct. match = CONTENT_TYPE_RE.match(content_type) if match: charset = match.group(1) else: charset = settings.DEFAULT_CHARSET return force_bytes(data, encoding=charset)",false,if match :,=,0.0,0.0
"def _merge_scientific_float_tokens(tokens: Iterable[str]) -> List[str]: tokens = list(tokens) i = 0 while ""e"" in tokens[i + 1 :]: i = tokens.index(""e"", i + 1) s = i - 1 e = i + 1 if not re.match(""[0-9]"", str(tokens[s])): continue if re.match(""[+-]"", str(tokens[e])): e += 1 if re.match(""[0-9]"", str(tokens[e])): e += 1 tokens[s:e] = ["""".join(tokens[s:e])] i -= 1 return tokens",false,"if re . match ( ""[0-9]"" , str ( tokens [ e ] ) ) :","re.match(""[+-]"", str(tokens[s])):1 if re.match(""[+-]"",re.",86.36,39.56
"def convert_with_key(self, key, value, replace=True): result = self.configurator.convert(value) # If the converted value is different, save for next time if value is not result: if replace: self[key] = result if type(result) in (ConvertingDict, ConvertingList, ConvertingTuple): result.parent = self result.key = key return result",false,if replace :,result:self.configurator.convert(value),33.33,4.2
"def OnListEndLabelEdit(self, std, extra): item = extra[0] text = item[4] if text is None: return item_id = self.GetItem(item[0])[6] from bdb import Breakpoint for bplist in Breakpoint.bplist.itervalues(): for bp in bplist: if id(bp) == item_id: if text.strip().lower() == ""none"": text = None bp.cond = text break self.RespondDebuggerData()",false,if id ( bp ) == item_id :,===============,22.22,5.26
"def add(self, url: str, future_nzo: NzbObject, when: Optional[int] = None): """"""Add an URL to the URLGrabber queue, 'when' is seconds from now"""""" if future_nzo and when: # Always increase counter future_nzo.url_tries += 1 # Too many tries? Cancel if future_nzo.url_tries > cfg.max_url_retries(): self.fail_to_history(future_nzo, url, T(""Maximum retries"")) return future_nzo.url_wait = time.time() + when self.queue.put((url, future_nzo))",false,if future_nzo . url_tries > cfg . max_url_retries ( ) :,"url,when:url,when:url",9.09,2.07
def _is_datetime_string(series): if series.dtype == object: not_numeric = False try: pd.to_numeric(series) except Exception as e: not_numeric = True datetime_col = None if not_numeric: try: datetime_col = pd.to_datetime(series) except Exception as e: return False if datetime_col is not None: return True return False,false,if not_numeric :,True,0.0,0.0
"def _getEventAndObservers(self, event): if isinstance(event, xpath.XPathQuery): # Treat as xpath observers = self._xpathObservers else: if self.prefix == event[: len(self.prefix)]: # Treat as event observers = self._eventObservers else: # Treat as xpath event = xpath.internQuery(event) observers = self._xpathObservers return event, observers",false,if self . prefix == event [ : len ( self . prefix ) ] :,event,5.88,0.0
"def test_wildcard_import(): bonobo = __import__(""bonobo"") assert bonobo.__version__ for name in dir(bonobo): # ignore attributes starting by underscores if name.startswith(""_""): continue attr = getattr(bonobo, name) if inspect.ismodule(attr): continue assert name in bonobo.__all__",false,if inspect . ismodule ( attr ) :,name,0.0,0.0
"def relint_views(wid=None): windows = [sublime.Window(wid)] if wid else sublime.windows() for window in windows: for view in window.views(): if view.buffer_id() in persist.assigned_linters and view.is_primary(): hit(view, ""relint_views"")",false,if view . buffer_id ( ) in persist . assigned_linters and view . is_primary ( ) :,view,5.88,0.0
def _check_for_unknown_gender(self): if self.obj.get_gender() == Person.UNKNOWN: d = GenderDialog(parent=self.window) gender = d.run() d.destroy() if gender >= 0: self.obj.set_gender(gender),false,if gender >= 0 :,=,16.67,0.0
"def add_to_path(self, fnames): """"""Add fnames to path"""""" indexes = [] for path in fnames: project = self.get_source_project(path) if project.add_to_pythonpath(path): self.parent_widget.emit(SIGNAL(""pythonpath_changed()"")) indexes.append(self.get_index(path)) if indexes: self.reset_icon_provider() for index in indexes: self.update(index)",false,if project . add_to_pythonpath ( path ) :,"self.parent_widget.emit(SIGNAL(""pythonpath_changed()""))",37.5,3.17
"def validate(self, value): if value.grid_id is not None: if not isinstance(value, self.proxy_class): self.error(""FileField only accepts GridFSProxy values"") if not isinstance(value.grid_id, ObjectId): self.error(""Invalid GridFSProxy value"")",false,"if not isinstance ( value . grid_id , ObjectId ) :",value,9.09,0.0
"def shortcut(self, input, ch_out, stride, name, if_first=False): ch_in = input.shape[1] if ch_in != ch_out or stride != 1: if if_first: return self.conv_bn_layer(input, ch_out, 1, stride, name=name) else: return self.conv_bn_layer_new(input, ch_out, 1, stride, name=name) else: return input",false,if if_first :,=,0.0,0.0
"def convert_path(ctx, tpath): for points, code in tpath.iter_segments(): if code == Path.MOVETO: ctx.move_to(*points) elif code == Path.LINETO: ctx.line_to(*points) elif code == Path.CURVE3: ctx.curve_to( points[0], points[1], points[0], points[1], points[2], points[3] ) elif code == Path.CURVE4: ctx.curve_to(*points) elif code == Path.CLOSEPOLY: ctx.close_path()",false,elif code == Path . CURVE4 :,elif== Path.CLOSEPOLY:elif== Path.CLOSEPOLY:elif== Path.CLOSE,75.0,13.26
"def _get_build_status(self, job_name, build_number): try: build_info = self.server.get_build_info(job_name, build_number) if build_info[""building""]: return ""building"" else: return ""built"" except jenkins.NotFoundException: return ""not found""",false,"if build_info [ ""building"" ] :",job_name,0.0,0.0
"def _parse_param_value(name, datatype, default): if datatype == ""bool"": if default.lower() == ""true"": return True elif default.lower() == ""false"": return False else: _s = ""{}: Invalid default value '{}' for bool parameter {}"" raise SyntaxError(_s.format(self.name, default, p)) elif datatype == ""int"": if type(default) == int: return default else: return int(default, 0) elif datatype == ""real"": if type(default) == float: return default else: return float(default) else: return str(default)",false,if type ( default ) == float :,p:returnp):p)ppppppp,22.22,5.8
"def get_fills(self, exchange_order_id): async with aiohttp.ClientSession() as client: response: aiohttp.ClientResponse = await client.get( f""{BASE_URL}{FILLS_ROUTE}"", params={""orderId"": exchange_order_id, ""limit"": 100}, ) if response.status >= 300: try: msg = await response.json() except ValueError: msg = await response.text() raise DydxAsyncAPIError(response.status, msg) return await response.json()",false,if response . status >= 300 :,=response.text(),37.5,12.87
"def semanticTags(self, semanticTags): if semanticTags is None: self.__semanticTags = OrderedDict() # check for key, value in list(semanticTags.items()): if not isinstance(key, int): raise TypeError(""At least one key is not a valid int position"") if not isinstance(value, list): raise TypeError( ""At least one value of the provided dict is not a list of string"" ) for x in value: if not isinstance(x, str): raise TypeError( ""At least one value of the provided dict is not a list of string"" ) self.__semanticTags = semanticTags",false,"if not isinstance ( x , str ) :","=self.__semanticTags.set(key, value) #self.__semanticTags.set(key, value) #",33.33,1.83
"def start_cutting_tool(self, event, axis, direction): toggle = event.EventObject self.cutting = toggle.Value if toggle.Value: # Disable the other toggles for child in self.cutsizer.Children: child = child.Window if child != toggle: child.Value = False self.cutting_axis = axis self.cutting_direction = direction else: self.cutting_axis = None self.cutting_direction = None self.cutting_dist = None",false,if child != toggle :,self.cutsizer.Children:self.cutsizer.Children:self.cutsizer.Children:self.,16.67,1.91
"def decoration_helper(self, patched, args, keywargs): extra_args = [] with contextlib.ExitStack() as exit_stack: for patching in patched.patchings: arg = exit_stack.enter_context(patching) if patching.attribute_name is not None: keywargs.update(arg) elif patching.new is DEFAULT: extra_args.append(arg) args += tuple(extra_args) yield (args, keywargs)",false,elif patching . new is DEFAULT :,=keywargs.update(arg),14.29,6.57
def decodeattrs(attrs): names = [] for bit in range(16): mask = 1 << bit if attrs & mask: if attrnames.has_key(mask): names.append(attrnames[mask]) else: names.append(hex(mask)) return names,false,if attrnames . has_key ( mask ) :,=,0.0,0.0
"def pytest_collection_modifyitems(items): for item in items: if item.nodeid.startswith(""tests/params""): if ""stage"" not in item.keywords: item.add_marker(pytest.mark.stage(""unit"")) if ""init"" not in item.keywords: item.add_marker(pytest.mark.init(rng_seed=123))",false,"if ""init"" not in item . keywords :","item.add_marker(pytest.mark.stage(""unit"")))",40.0,5.11
"def handle_socket(self, request): conn = request.connection while True: chunk = conn.recv(4) if len(chunk) < 4: break slen = struct.unpack("">L"", chunk)[0] chunk = conn.recv(slen) while len(chunk) < slen: chunk = chunk + conn.recv(slen - len(chunk)) obj = pickle.loads(chunk) record = logging.makeLogRecord(obj) self.log_output += record.msg + ""\n"" self.handled.release()",false,if len ( chunk ) < 4 :,=self.handled.acquire()self.handled.release()self.handled.release()self.handled.release,25.0,1.65
"def on_source_foreach(self, model, path, iter, id): m_id = model.get_value(iter, self.COLUMN_ID) if m_id == id: if self._foreach_mode == ""get"": self._foreach_take = model.get_value(iter, self.COLUMN_ENABLED) elif self._foreach_mode == ""set"": self._foreach_take = iter",false,"elif self . _foreach_mode == ""set"" :","model.get_value(iter, self.COLUMN_ENABLED)",20.0,6.75
"def parts(): for l in lists.leaves: head_name = l.get_head_name() if head_name == ""System`List"": yield l.leaves elif head_name != ""System`Missing"": raise MessageException(""Catenate"", ""invrp"", l)",false,"elif head_name != ""System`Missing"" :",list,0.0,0.0
"def __fill_counter_values(self, command: str): result = [] regex = r""(item[0-9]+\.counter_value)"" for token in re.split(regex, command): if re.match(regex, token) is not None: try: result.append(str(self.simulator_config.item_dict[token].value)) except (KeyError, ValueError, AttributeError): logger.error(""Could not get counter value for "" + token) else: result.append(token) return """".join(result)",false,"if re . match ( regex , token ) is not None :",=self.simulator_config.item_dict[token].value)=self.simulator_config.item_,23.08,1.98
"def IMPORTFROM(self, node): if node.module == ""__future__"": if not self.futuresAllowed: self.report(messages.LateFutureImport, node, [n.name for n in node.names]) else: self.futuresAllowed = False for alias in node.names: if alias.name == ""*"": self.scope.importStarred = True self.report(messages.ImportStarUsed, node, node.module) continue name = alias.asname or alias.name importation = Importation(name, node) if node.module == ""__future__"": importation.used = (self.scope, node) self.addBinding(node, importation)",false,"if node . module == ""__future__"" :",importation.importStarred =importation.importStarred = Trueimportation.importStarred = Trueimportation.,30.0,3.74
"def _split_batch_list(args, batch_list): new_list = [] for batch in batch_list.batches: new_list.append(batch) if len(new_list) == args.batch_size_limit: yield batch_pb2.BatchList(batches=new_list) new_list = [] if new_list: yield batch_pb2.BatchList(batches=new_list)",false,if len ( new_list ) == args . batch_size_limit :,=,9.09,0.0
"def get_branch_or_use_upstream(branch_name, arg, repo): if not branch_name: # use upstream branch current_b = repo.current_branch upstream_b = current_b.upstream if not upstream_b: raise ValueError( ""No {0} branch specified and the current branch has no upstream "" ""branch set"".format(arg) ) ret = current_b.upstream else: ret = get_branch(branch_name, repo) return ret",false,if not upstream_b :,repo.current_branch,0.0,8.75
"def __init__(self, **settings): default_settings = self.get_default_settings() for name, value in default_settings.items(): if not hasattr(self, name): setattr(self, name, value) for name, value in settings.items(): if name not in default_settings: raise ImproperlyConfigured( ""Invalid setting '{}' for {}"".format( name, self.__class__.__name__, ) ) setattr(self, name, value)",false,"if not hasattr ( self , name ) :","self.__class__.__name__=name,self.__class__.__name__=name,",33.33,1.53
"def _declare(self, name, obj, included=False, quals=0): if name in self._declarations: prevobj, prevquals = self._declarations[name] if prevobj is obj and prevquals == quals: return if not self._override: raise api.FFIError( ""multiple declarations of %s (for interactive usage, "" ""try cdef(xx, override=True))"" % (name,) ) assert ""__dotdotdot__"" not in name.split() self._declarations[name] = (obj, quals) if included: self._included_declarations.add(obj)",false,if not self . _override :,=self._declarations[name] ==self._declarations[name]=self._declarations[name,33.33,5.86
"def include_file(name, fdir=tmp_dir, b64=False): try: if fdir is None: fdir = """" if b64: with io.open(os.path.join(fdir, name), ""rb"") as f: return base64.b64encode(f.read()).decode(""utf-8"") else: with io.open(os.path.join(fdir, name), ""r"", encoding=""utf-8"") as f: return f.read() except (OSError, IOError) as e: logger.error(""Could not include file '{}': {}"".format(name, e))",false,if b64 :,"filename,fdir,fdir,fdir, name,fdir,fdir,fdir",0.0,0.0
"def to_raw_json(self): parts = {} for p in self.parts: if p[0] not in parts: parts[p[0]] = [] parts[p[0]].append({""value"": p[2], ""parameters"": p[1]}) children = [x.to_raw_json() for x in self.children] return { ""type"": self.__class__.__name__, ""children"": children, ""parts"": parts, }",false,if p [ 0 ] not in parts :,=,0.0,0.0
"def process_output( output: str, filename: str, start_line: int ) -> Tuple[Optional[str], bool]: error_found = False for line in output.splitlines(): t = get_revealed_type(line, filename, start_line) if t: return t, error_found elif ""error:"" in line: error_found = True return None, True # finding no reveal_type is an error",false,if t :,:line:line:line:line::line::::,33.33,2.63
"def __init__( self, resize_keyboard=None, one_time_keyboard=None, selective=None, row_width=3 ): if row_width > self.max_row_keys: # Todo: Will be replaced with Exception in future releases if not DISABLE_KEYLEN_ERROR: logger.error( ""Telegram does not support reply keyboard row width over %d."" % self.max_row_keys ) row_width = self.max_row_keys self.resize_keyboard = resize_keyboard self.one_time_keyboard = one_time_keyboard self.selective = selective self.row_width = row_width self.keyboard = []",false,if not DISABLE_KEYLEN_ERROR :,selective = selectiveselective = selectiveself . selective = selectiveself .= selective selfself,0.0,0.0
"def realizeElementExpressions(innerElement): elementHasBeenRealized = False for exp in innerElement.expressions: if not hasattr(exp, ""realize""): continue # else: before, during, after = exp.realize(innerElement) elementHasBeenRealized = True for n in before: newStream.append(n) if during is not None: newStream.append(during) for n in after: newStream.append(n) if elementHasBeenRealized is False: newStream.append(innerElement)",false,if during is not None :,newStream.append(innerElement)newStream.append(innerElement)newStream.append(innerElement) ifis,0.0,0.0
"def lex_number(self, pos): # numeric literal start = pos found_dot = False while pos < len(self.string) and ( self.string[pos].isdigit() or self.string[pos] == ""."" ): if self.string[pos] == ""."": if found_dot is True: raise ValueError(""Invalid number. Found multiple '.'"") found_dot = True # technically we allow more than one ""."" and let float()'s parsing # complain later pos += 1 val = self.string[start:pos] return Token(TokenType.LNUM, val, len(val))",false,"if self . string [ pos ] == ""."" :",pos=pos=pos=pos=pos=pos====,23.08,5.82
"def rename(src, dst): # Try atomic or pseudo-atomic rename if _rename(src, dst): return # Fall back to ""move away and replace"" try: os.rename(src, dst) except OSError as e: if e.errno != errno.EEXIST: raise old = ""%s-%08x"" % (dst, random.randint(0, sys.maxsize)) os.rename(dst, old) os.rename(src, dst) try: os.unlink(old) except Exception: pass",false,if e . errno != errno . EEXIST :,"os.rename(src, dst)os.rename(dst,os.rename(src,os.unlink(dst",20.0,1.79
"def _the_callback(widget, event_id): point = widget.GetCenter() index = widget.WIDGET_INDEX if hasattr(callback, ""__call__""): if num > 1: args = [point, index] else: args = [point] if pass_widget: args.append(widget) try_callback(callback, *args) return",false,if pass_widget :,event_id,0.0,0.0
"def run(self): for _ in range(self.n): error = True try: self.collection.insert_one({""test"": ""insert""}) error = False except: if not self.expect_exception: raise if self.expect_exception: assert error",false,if not self . expect_exception :,True,0.0,0.0
"def handle(self, *args: Any, **options: Any) -> None: realm = self.get_realm(options) if options[""all""]: if realm is None: raise CommandError( ""You must specify a realm if you choose the --all option."" ) self.fix_all_users(realm) return self.fix_emails(realm, options[""emails""])",false,if realm is None :,"options[""emails""]",0.0,0.0
"def recv_tdi(self, nbits, pos): bits = 0 for n in range(nbits * 2): yield from self._wait_for_tck() if (yield self.tck.o) == pos: bits = (bits << 1) | (yield self.tdi.o) return bits",false,if ( yield self . tck . o ) == pos :,bits,0.0,0.0
"def _split_head(self): if not hasattr(self, ""_severed_head""): if self._tree: tree = self._tree.copy() head = tree.get_heading_text() tree.remove_heading() self._severed_head = (head, tree) else: self._severed_head = (None, None) return self._severed_head",false,if self . _tree :,self._severed_head,40.0,30.21
"def buildSearchTrie(self, choices): searchtrie = trie.Trie() for choice in choices: for token in self.tokenizeChoice(choice): if not searchtrie.has_key(token): searchtrie[token] = [] searchtrie[token].append(choice) return searchtrie",false,if not searchtrie . has_key ( token ) :,=,0.0,0.0
"def format_sql(sql, params): rv = [] if isinstance(params, dict): # convert sql with named parameters to sql with unnamed parameters conv = _FormatConverter(params) if params: sql = sql_to_string(sql) sql = sql % conv params = conv.params else: params = () for param in params or (): if param is None: rv.append(""NULL"") param = safe_repr(param) rv.append(param) return sql, rv",false,if param is None :,"sql,params============",0.0,0.0
def on_completed2(): doner[0] = True if not qr: if len(ql) > 0: observer.on_next(False) observer.on_completed() elif donel[0]: observer.on_next(True) observer.on_completed(),false,elif donel [ 0 ] :,else:,16.67,0.0
"def notify_digest(self, frequency, changes): notifications = defaultdict(list) users = {} for change in changes: for user in self.get_users(frequency, change): if change.project is None or user.can_access_project(change.project): notifications[user.pk].append(change) users[user.pk] = user for user in users.values(): self.send_digest( user.profile.language, user.email, notifications[user.pk], subscription=user.current_subscription, )",false,if change . project is None or user . can_access_project ( change . project ) :,notifications[user.pk],12.5,1.57
"def _any_listener_using(self, target_group_arn): for load_balancer in self.load_balancers.values(): for listener in load_balancer.listeners.values(): for rule in listener.rules: for action in rule.actions: if action.data.get(""target_group_arn"") == target_group_arn: return True return False",false,"if action . data . get ( ""target_group_arn"" ) == target_group_arn :",rule,0.0,0.0
"def train_dict(self, triples): """"""Train a dict lemmatizer given training (word, pos, lemma) triples."""""" # accumulate counter ctr = Counter() ctr.update([(p[0], p[1], p[2]) for p in triples]) # find the most frequent mappings for p, _ in ctr.most_common(): w, pos, l = p if (w, pos) not in self.composite_dict: self.composite_dict[(w, pos)] = l if w not in self.word_dict: self.word_dict[w] = l return",false,if w not in self . word_dict :,"=self.word_dict[(w, pos)]=self.word_dict[(w, pos)]=",50.0,13.6
"def parse_git_config(path): """"""Parse git config file."""""" config = dict() section = None with open(os.path.join(path, ""config""), ""r"") as f: for line in f: line = line.strip() if line.startswith(""[""): section = line[1:-1].strip() config[section] = dict() elif section: key, value = line.replace("" "", """").split(""="") config[section][key] = value return config",false,"if line . startswith ( ""["" ) :",config,0.0,0.0
"def send_signal(self, pid, signum): if pid in self.processes: process = self.processes[pid] hook_result = self.call_hook(""before_signal"", pid=pid, signum=signum) if signum != signal.SIGKILL and not hook_result: logger.debug( ""before_signal hook didn't return True "" ""=> signal %i is not sent to %i"" % (signum, pid) ) else: process.send_signal(signum) self.call_hook(""after_signal"", pid=pid, signum=signum) else: logger.debug(""process %s does not exist"" % pid)",false,if signum != signal . SIGKILL and not hook_result :,"signal %i isnotsignal %i is%i"" % ())))))",9.09,2.15
"def validate_pos_return(self): if self.is_pos and self.is_return: total_amount_in_payments = 0 for payment in self.payments: total_amount_in_payments += payment.amount invoice_total = self.rounded_total or self.grand_total if total_amount_in_payments < invoice_total: frappe.throw( _(""Total payments amount can't be greater than {}"").format( -invoice_total ) )",false,if total_amount_in_payments < invoice_total :,self.is_pos:self.is_return:,20.0,4.1
"def delete(key, inner_key=None): if inner_key is not None: try: del cache[key][inner_key] del use_count[key][inner_key] if not cache[key]: del cache[key] del use_count[key] wrapper.cache_size -= 1 except KeyError: return False else: return True else: try: wrapper.cache_size -= len(cache[key]) del cache[key] del use_count[key] except KeyError: return False else: return True",false,if not cache [ key ] :,del cache[key],57.14,44.83
"def insertionsort(array): size = array.getsize() array.reset(""Insertion sort"") for i in range(1, size): j = i - 1 while j >= 0: if array.compare(j, j + 1) <= 0: break array.swap(j, j + 1) j = j - 1 array.message(""Sorted"")",false,"if array . compare ( j , j + 1 ) <= 0 :",=array.sort(i)=array.sort(i)=array.sort(i)=,33.33,4.34
"def publish_state(cls, payload, state): try: if isinstance(payload, LiveActionDB): if state == action_constants.LIVEACTION_STATUS_REQUESTED: cls.process(payload) else: worker.get_worker().process(payload) except Exception: traceback.print_exc() print(payload)",false,if state == action_constants . LIVEACTION_STATUS_REQUESTED :,state:,25.0,0.0
"def change_opacity_function(self, new_f): self.opacity_function = new_f dr = self.radius / self.num_levels sectors = [] for submob in self.submobjects: if type(submob) == AnnularSector: sectors.append(submob) for (r, submob) in zip(np.arange(0, self.radius, dr), sectors): if type(submob) != AnnularSector: # it's the shadow, don't dim it continue alpha = self.opacity_function(r) submob.set_fill(opacity=alpha)",false,if type ( submob ) != AnnularSector :,"self.opacity_function=( r , submob)=( r , submob)=",44.44,5.11
"def is_suppressed_warning( type: str, subtype: str, suppress_warnings: List[str] ) -> bool: """"""Check the warning is suppressed or not."""""" if type is None: return False for warning_type in suppress_warnings: if ""."" in warning_type: target, subtarget = warning_type.split(""."", 1) else: target, subtarget = warning_type, None if target == type: if ( subtype is None or subtarget is None or subtarget == subtype or subtarget == ""*"" ): return True return False",false,"if ""."" in warning_type :","TrueTrueTrueTrueTrueTrueTrue ifsubtarget ==subtarget == ""*""subtarget == ""*""",28.57,2.91
"def set_many(self, mapping, timeout=None): timeout = self._normalize_timeout(timeout) # Use transaction=False to batch without calling redis MULTI # which is not supported by twemproxy pipe = self._client.pipeline(transaction=False) for key, value in _items(mapping): dump = self.dump_object(value) if timeout == -1: pipe.set(name=self.key_prefix + key, value=dump) else: pipe.setex(name=self.key_prefix + key, value=dump, time=timeout) return pipe.execute()",false,if timeout == - 1 :,=pipe,14.29,0.0
"def maybe_relative_path(path): if not os.path.isabs(path): return path # already relative dir = path names = [] while True: prevdir = dir dir, name = os.path.split(prevdir) if dir == prevdir or not dir: return path # failed to make it relative names.append(name) try: if samefile(dir, os.curdir): names.reverse() return os.path.join(*names) except OSError: pass",false,"if samefile ( dir , os . curdir ) :",dir==============,10.0,2.63
"def word_range(word): for ind in range(len(word)): temp = word[ind] for c in [chr(x) for x in range(ord(""a""), ord(""z"") + 1)]: if c != temp: yield word[:ind] + c + word[ind + 1 :]",false,if c != temp :,:,16.67,0.0
"def validate(self): self.update_soil_edit(""sand_composition"") for soil_type in self.soil_types: if self.get(soil_type) > 100 or self.get(soil_type) < 0: frappe.throw(_(""{0} should be a value between 0 and 100"").format(soil_type)) if sum(self.get(soil_type) for soil_type in self.soil_types) != 100: frappe.throw(_(""Soil compositions do not add up to 100""))",false,if self . get ( soil_type ) > 100 or self . get ( soil_type ) < 0 :,soil_type)notsoil_type)notself.get(soil_type)notself,36.84,34.87
"def on_click(self, event): run = self._is_running() if event[""button""] == self.button_activate: self.py3.command_run([""xscreensaver-command"", ""-activate""]) if event[""button""] == self.button_toggle: if run: self.py3.command_run([""xscreensaver-command"", ""-exit""]) else: # Because we want xscreensaver to continue running after # exit, we instead use preexec_fn=setpgrp here. Popen( [""xscreensaver"", ""-no-splash"", ""-no-capture-stderr""], stdout=PIPE, stderr=PIPE, preexec_fn=setpgrp, )",false,if run :,###############,0.0,0.0
"def maybe_relative_path(path): if not os.path.isabs(path): return path # already relative dir = path names = [] while True: prevdir = dir dir, name = os.path.split(prevdir) if dir == prevdir or not dir: return path # failed to make it relative names.append(name) try: if samefile(dir, os.curdir): names.reverse() return os.path.join(*names) except OSError: pass",false,if dir == prevdir or not dir :,dir==============,33.33,9.78
"def _format_micros(self, datestring): parts = datestring[:-1].split(""."") if len(parts) == 1: if datestring.endswith(""Z""): return datestring[:-1] + "".000000Z"" else: return datestring + "".000000Z"" else: micros = parts[-1][:6] if len(parts[-1]) > 6 else parts[-1] return ""."".join(parts[:-1] + [""{:06d}"".format(int(micros))]) + ""Z""",false,"if datestring . endswith ( ""Z"" ) :",+++++,0.0,0.0
"def preprocess_raw_enwik9(input_filename, output_filename): with open(input_filename, ""r"") as f1: with open(output_filename, ""w"") as f2: while True: line = f1.readline() if not line: break line = list(enwik9_norm_transform([line]))[0] if line != "" "" and line != """": if line[0] == "" "": line = line[1:] f2.writelines(line + ""\n"")",false,"if line != "" "" and line != """" :",line:line:line:line:line:line:line:line:line:line:,23.08,2.52
"def set(self, item, data): if not type(item) is slice: item = slice(item, item + len(data), None) virt_item = self.item2virtitem(item) if not virt_item: return off = 0 for s, n_item in virt_item: if isinstance(s, ProgBits): i = slice(off, n_item.stop + off - n_item.start, n_item.step) data_slice = data.__getitem__(i) s.content.__setitem__(n_item, data_slice) off = i.stop else: raise ValueError(""TODO XXX"") return",false,"if isinstance ( s , ProgBits ) :","s, data_slice):s.content.__setitem__(n_item, data_slice) off +=s.content",62.5,3.59
"def walk(msg, callback, data): partnum = 0 for part in msg.walk(): # multipart/* are just containers if part.get_content_maintype() == ""multipart"": continue ctype = part.get_content_type() if ctype is None: ctype = OCTET_TYPE filename = part.get_filename() if not filename: filename = PART_FN_TPL % (partnum) headers = dict(part) LOG.debug(headers) headers[""Content-Type""] = ctype payload = util.fully_decoded_payload(part) callback(data, filename, payload, headers) partnum = partnum + 1",false,if not filename :,partnum += 1partnum=partnum + 1partnum + 1partnum + 1partnum=,0.0,0.0
"def _run_wes(args): """"""Run CWL using a Workflow Execution Service (WES) endpoint"""""" main_file, json_file, project_name = _get_main_and_json(args.directory) main_file = _pack_cwl(main_file) if args.host and ""stratus"" in args.host: _run_wes_stratus(args, main_file, json_file) else: opts = [""--no-wait""] if args.host: opts += [""--host"", args.host] if args.auth: opts += [""--auth"", args.auth] cmd = [""wes-client""] + opts + [main_file, json_file] _run_tool(cmd)",false,if args . host :,args.host: opts +=args.host: opts +=args.auth: opts +=args.host: opts +=args,80.0,8.06
"def insertTestData(self, rows): for row in rows: if isinstance(row, Worker): self.workers[row.id] = dict( id=row.id, name=row.name, paused=0, graceful=0, info=row.info ) elif isinstance(row, ConfiguredWorker): row.id = row.buildermasterid * 10000 + row.workerid self.configured[row.id] = dict( buildermasterid=row.buildermasterid, workerid=row.workerid ) elif isinstance(row, ConnectedWorker): self.connected[row.id] = dict(masterid=row.masterid, workerid=row.workerid)",false,"elif isinstance ( row , ConfiguredWorker ) :",= row.buildermasterid * 10000 +row.buildermasteridrow.buildermasteridrow.buildermasteridrow,12.5,2.84
"def local_shape_to_shape_i(node): if node.op == T.shape: # This optimization needs ShapeOpt and fgraph.shape_feature if not hasattr(node.fgraph, ""shape_feature""): return shape_feature = node.fgraph.shape_feature ret = shape_feature.make_vector_shape(node.inputs[0]) # We need to copy over stack trace from input to output copy_stack_trace(node.outputs[0], ret) return [ret]",false,"if not hasattr ( node . fgraph , ""shape_feature"" ) :","shape_feature.make_vector_shape(node.inputs[0],shape_feature.make_vector_shape(node.",38.46,8.37
